,masks_stance,masks_argument,quarantine_stance,quarantine_argument,vaccines_stance,vaccines_argument
TF-IDF_MLP,0.517319716575437,0.4974040904655634,0.4510103878438579,0.3942595656134514,0.5118312948821424,0.4263133602491413
TF-IDF_xgb,0.5022556778520785,0.548415772105232,0.44703940819425864,0.45573425838326503,0.46690879269081287,0.4096539810278074
TF-IDF_rf,0.5097352849401059,0.411761292253686,0.3712918660287081,0.30134932533733133,0.35158597113548495,0.32996773047241684
TF-IDF_lr,0.5585335888741462,0.5947844507963608,0.505222066116812,0.4226289617760812,0.5107184375726576,0.4439391905497014
TF-IDF_svm,0.49331197205714133,0.4119161001758324,0.3721902570003836,0.3168803033038455,0.37433645611816774,0.3269633994213977
TF-IDF_knn,0.38485195663624316,0.3886467603759461,0.32522362141240213,0.29105660936573796,0.3345870268446716,0.330484434048935
TF-IDF-SVD_xgb,0.28786599627530773,0.2747176907150501,0.047058823529411764,0.0625233819678264,0.0,0.0
TF-IDF-SVD_rf,0.19947640418876647,0.252157049898113,0.005494505494505495,0.0014684287812041117,0.0,0.0
TF-IDF-SVD_lr,0.2337098079444722,0.21114050558495004,0.18327021211013028,0.1598848836837221,0.02058138899441264,0.016487484001839466
TF-IDF-SVD_svm,0.07657657657657659,0.08551724137931034,0.007640878701050621,0.004310344827586207,0.0,0.0
TF-IDF-SVD_knn,0.17116407872440328,0.19295563499550386,0.026121599707260065,0.023346653402800028,0.10216542421015266,0.10763422818791947
word2vec_xgb,0.2620212873423882,0.25764538139616994,0.21607249235566006,0.17925342539648292,0.18866397402391702,0.17012355591239572
word2vec_rf,0.17168053705967126,0.1984576952318888,0.0950845665961945,0.07337141302869576,0.03188405797101449,0.03015873015873016
word2vec_lr,0.3137948537533068,0.3144895151122002,0.257631945158712,0.20183578927042545,0.2137604400950237,0.2130396212405825
word2vec_svm,0.2664964126667165,0.28139350059423557,0.188767640318532,0.15726942471008942,0.1990660317495667,0.1840520958610777
word2vec_knn,0.19824968328489456,0.21348050633798152,0.19684888756583496,0.180170508957191,0.1438062872072617,0.1518259249888643
BERT_LSTM,0.4942714246450612,0.538679534671198,0.47988293984745783,0.4723309355867496,0.466636038644811,0.47080572091804257
BERT_MLP,0.4998566480635855,0.5709860364885918,0.467160797693751,0.4698057797919715,0.5061025043034039,0.44153954373019544
BERT_xgb,0.45270154848657057,0.47977979040535196,0.4087619444720592,0.3049805629454058,0.42509087804931905,0.3108310831083108
BERT_rf,0.3760481742382522,0.36033286354210614,0.2853478065263379,0.26853300512478184,0.3082581180620397,0.2222222222222222
BERT_lr,0.48441772798840943,0.5293744558007546,0.5025148595532546,0.45117708497704445,0.4941718872888021,0.43496632896502047
BERT_svm,0.5028947008328452,0.5505547369101231,0.4824427458855463,0.478809202493413,0.49374765482516997,0.45664316874519734
BERT_knn,0.3755080754057953,0.3924144672531769,0.3267729159337606,0.3397346680542969,0.3251340257915601,0.32313448756471147
